epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6751,0.92825,3.04375,1.0098,0.00557,0.73878,0.31299,0.26225,0.50532,3.33335,0.80617,0.000405702,0.000405702,0.000405702
2,48.0374,0.74462,1.77732,0.94736,0.83802,0.11034,0.48839,0.41259,0.58924,2.72849,0.82567,0.000806086,0.000806086,0.000806086
3,60.6558,0.75313,1.49907,0.94961,0.65786,0.57288,0.66311,0.55834,0.59948,1.89264,0.8536,0.00118997,0.00118997,0.00118997
4,73.7271,0.72172,1.42586,0.95548,0.71132,0.72093,0.69882,0.60929,0.58658,1.21165,0.84182,0.00117575,0.00117575,0.00117575
5,87.2477,0.70112,1.32025,0.93903,0.68886,0.68974,0.63066,0.55376,0.55952,1.60056,0.82786,0.001151,0.001151,0.001151
6,99.9518,0.68871,1.25087,0.94046,0.72927,0.77587,0.72854,0.63768,0.50527,1.0025,0.80378,0.00112625,0.00112625,0.00112625
7,112.842,0.65894,1.216,0.94403,0.77484,0.77746,0.70376,0.6212,0.49669,0.95671,0.79578,0.0011015,0.0011015,0.0011015
8,127.048,0.64009,1.1095,0.9067,0.68773,0.83689,0.7434,0.63018,0.59277,0.87643,0.81921,0.00107675,0.00107675,0.00107675
9,140.012,0.61009,1.05232,0.91842,0.74872,0.72792,0.75731,0.66849,0.51488,0.82527,0.79204,0.001052,0.001052,0.001052
10,153.103,0.60447,1.03585,0.91183,0.73454,0.79356,0.71417,0.63955,0.46037,0.8241,0.79996,0.00102725,0.00102725,0.00102725
11,166.069,0.61542,0.99383,0.91082,0.78987,0.74004,0.7343,0.66636,0.42732,0.74723,0.76521,0.0010025,0.0010025,0.0010025
12,178.847,0.58257,0.94043,0.90075,0.70811,0.82444,0.76712,0.71734,0.37734,0.70771,0.76344,0.00097775,0.00097775,0.00097775
13,191.185,0.58444,0.95164,0.90114,0.73308,0.81888,0.75986,0.69002,0.426,0.6666,0.75801,0.000953,0.000953,0.000953
14,203.719,0.57108,0.93919,0.90752,0.76189,0.78667,0.74683,0.67263,0.41916,0.7714,0.76124,0.00092825,0.00092825,0.00092825
15,215.467,0.5528,0.90554,0.88932,0.76544,0.80394,0.78238,0.71493,0.40803,0.68645,0.76463,0.0009035,0.0009035,0.0009035
16,228.123,0.56268,0.89163,0.89856,0.76423,0.76775,0.75524,0.68808,0.41109,0.68212,0.76059,0.00087875,0.00087875,0.00087875
17,240.884,0.54718,0.82116,0.87931,0.74641,0.81967,0.77164,0.71474,0.34117,0.67253,0.73796,0.000854,0.000854,0.000854
18,253.252,0.55205,0.86984,0.88827,0.74433,0.79272,0.76407,0.69682,0.39915,0.67618,0.74499,0.00082925,0.00082925,0.00082925
19,266.221,0.52369,0.83743,0.8909,0.74552,0.7784,0.75747,0.68756,0.37992,0.65621,0.74077,0.0008045,0.0008045,0.0008045
20,278.934,0.53203,0.82984,0.87688,0.79414,0.73628,0.74309,0.67294,0.38975,0.64292,0.74,0.00077975,0.00077975,0.00077975
21,291.755,0.5202,0.80567,0.87778,0.77905,0.75109,0.7757,0.71767,0.3175,0.59585,0.72572,0.000755,0.000755,0.000755
22,304.738,0.51958,0.81351,0.88085,0.76485,0.77449,0.79464,0.74676,0.33845,0.60698,0.73386,0.00073025,0.00073025,0.00073025
23,318.045,0.52285,0.78345,0.88,0.74646,0.82584,0.77355,0.70051,0.34929,0.58612,0.72675,0.0007055,0.0007055,0.0007055
24,329.605,0.50799,0.75487,0.87815,0.72062,0.85251,0.77456,0.71244,0.33772,0.58854,0.72482,0.00068075,0.00068075,0.00068075
25,342.197,0.50204,0.75044,0.87902,0.75332,0.75507,0.77195,0.71334,0.36164,0.61249,0.72935,0.000656,0.000656,0.000656
26,354.325,0.5035,0.7484,0.88594,0.78678,0.75243,0.77165,0.71582,0.32101,0.59588,0.72046,0.00063125,0.00063125,0.00063125
27,366.873,0.47691,0.71169,0.86893,0.73388,0.7813,0.75861,0.70024,0.3385,0.58221,0.72424,0.0006065,0.0006065,0.0006065
28,379.767,0.48995,0.71638,0.8785,0.71933,0.85978,0.78995,0.73036,0.33625,0.59706,0.71578,0.00058175,0.00058175,0.00058175
29,392.888,0.49521,0.7357,0.86978,0.74185,0.79286,0.80427,0.7441,0.33591,0.56672,0.72699,0.000557,0.000557,0.000557
30,405.231,0.46527,0.66659,0.85505,0.75569,0.77805,0.7883,0.7324,0.31989,0.56052,0.7162,0.00053225,0.00053225,0.00053225
31,419.557,0.4657,0.69333,0.86217,0.73105,0.81726,0.77587,0.72552,0.2931,0.55558,0.71402,0.0005075,0.0005075,0.0005075
32,432.406,0.47122,0.69387,0.86819,0.77416,0.76746,0.78648,0.73197,0.34743,0.55679,0.72107,0.00048275,0.00048275,0.00048275
33,444.964,0.47283,0.6987,0.86203,0.73635,0.81711,0.78911,0.73529,0.323,0.54286,0.71951,0.000458,0.000458,0.000458
34,457.744,0.47989,0.7249,0.85992,0.73941,0.81579,0.78293,0.73951,0.29729,0.5346,0.71359,0.00043325,0.00043325,0.00043325
35,470.682,0.44445,0.63146,0.85263,0.74365,0.79966,0.77344,0.72664,0.28086,0.51154,0.71143,0.0004085,0.0004085,0.0004085
36,482.73,0.45425,0.67541,0.8553,0.78289,0.74472,0.77876,0.72853,0.28567,0.52301,0.71247,0.00038375,0.00038375,0.00038375
37,495.021,0.45217,0.65917,0.86443,0.74729,0.80198,0.7826,0.7327,0.30853,0.52317,0.72156,0.000359,0.000359,0.000359
38,508.041,0.44346,0.68031,0.84285,0.75208,0.8077,0.77051,0.7257,0.30481,0.52628,0.71893,0.00033425,0.00033425,0.00033425
39,520.771,0.45426,0.66507,0.85995,0.80623,0.74544,0.77554,0.73451,0.27834,0.51525,0.70891,0.0003095,0.0003095,0.0003095
40,533.352,0.43445,0.64712,0.85622,0.7443,0.80163,0.78904,0.75039,0.26927,0.51117,0.71101,0.00028475,0.00028475,0.00028475
41,548.735,0.39871,0.60003,0.83032,0.76052,0.79952,0.77339,0.73408,0.27276,0.53104,0.70455,0.00026,0.00026,0.00026
42,561.078,0.38925,0.57619,0.83052,0.77317,0.79932,0.79516,0.74872,0.26372,0.52497,0.70297,0.00023525,0.00023525,0.00023525
43,573.201,0.39415,0.57443,0.8273,0.76763,0.79893,0.80052,0.76418,0.26336,0.50596,0.70799,0.0002105,0.0002105,0.0002105
44,586.026,0.3785,0.56643,0.8318,0.75631,0.83812,0.79631,0.75418,0.25471,0.50868,0.70372,0.00018575,0.00018575,0.00018575
45,597.851,0.3737,0.56596,0.82177,0.80672,0.76563,0.79064,0.74581,0.27243,0.50188,0.706,0.000161,0.000161,0.000161
46,610.044,0.38035,0.56203,0.8249,0.81493,0.75527,0.79554,0.7588,0.27562,0.49297,0.70404,0.00013625,0.00013625,0.00013625
47,621.227,0.34823,0.53548,0.81079,0.73951,0.83549,0.78797,0.74534,0.26838,0.50694,0.70201,0.0001115,0.0001115,0.0001115
48,633.524,0.35684,0.536,0.82513,0.74773,0.81668,0.78491,0.74566,0.2515,0.4943,0.70192,8.675e-05,8.675e-05,8.675e-05
49,645.743,0.35104,0.52219,0.82062,0.74924,0.81668,0.78256,0.74975,0.23718,0.49643,0.70007,6.2e-05,6.2e-05,6.2e-05
50,657.731,0.35253,0.52809,0.8161,0.75724,0.80198,0.78271,0.74894,0.24588,0.48607,0.70124,3.725e-05,3.725e-05,3.725e-05
